IPF,FY,ORG_TYPE,REGION,STATE_CODE,tot_doll
4db1c7fc7007b4963a9e44fbf7d50382,1985,Other Higher Education,Mid West,WI,415035.79367751686
911076cdec2575bdc1d6985f0e79b0c3,1985,Medical Schools,Mid West,WI,68671549.21228077
935727ea6614e02e6effd464b9342b15,1985,Other Higher Education,Mid West,WI,62323369.92967176
54eec2664bb81509f6a1841d7310c57b,1985,Other Higher Education,Mid West,WI,1173080.9712355167
14792e3589af02df2d616880eca3410a,1985,Other Higher Education,Mid West,WI,506216.58313810494
2e9b188933ab5bcd9fc2c767ef4e360d,1985,Medical Schools,South,PR,4035829.784177121
ccf12f8334d722ead63a51071ade3813,1985,Other Higher Education,South,PR,604582.6352359458
f721a82aaa8b805e616d89a0257d5e35,1985,Hospitals,Mid West,OH,7251073.536121338
0aacd8b01ac4b1bef73a1d604b2efc74,1985,Research Institutes,West,WA,756841.314481098
32001e2ea61e0f47999dda0e70cd3045,1985,Other Higher Education,Mid West,IN,582644.518755936
46a62ec584f34290cc19a36933ac59ec,1985,Research Institutes,West,CA,540114.3381079047
ab6d55c11a049d0270ea013743d61a85,1985,Other Domestic NonProfit,West,CA,385798.6641044697
97b307219908194f0e2d533ad0ac4dec,1985,Other Higher Education,North East,NJ,200331.0546318774
3efb317cd4d4fd816120a538b290e1fc,1985,Research Institutes,Mid West,IN,324799.7680907889
e460f02aa5b2b82600c25afc1d49119f,1985,Research Institutes,South,DC,552765.9608522247
f322654ff23e825c82fffc3bfda3a7f1,1985,Other Higher Education,South,GA,14987661.000828514
3de20c5f028049b9735c4c9c1f04a15a,1985,Other Higher Education,South,GA,6025761.96401529
68e9ffe31556c145887f1c2c119ab74a,1985,Other Higher Education,South,GA,1254393.8742088699
6d08072aa7879153b4f0f639b93435a6,1985,Medical Schools,South,GA,13871844.106451394
c7277a04d8076e87e4991c6bf71a5fdc,1985,Other Higher Education,South,GA,2880955.268846214
fcdf9358710d9c237358bd5f24d91791,1985,Other Higher Education,South,GA,310135.3869283404
376d4421d459bfc8462590c2f105a52f,1985,Other Higher Education,South,GA,114834.64797039122
d37b3652acbf9bc597cf67dacd24b4ba,1985,Research Institutes,West,NM,304659.5471660202
